City,Census,Rank,label,offset,x_place,Rank2,xmin_grob,xmax_grob,ymin_grob,ymax_grob,raster_name,state,toolcity,toolcensus,toolrank,toolchange,firstcensus,tooltext,limit,limits_val
NORTHERN LIBERTIES,1,6,0,right,1.85,6,-2.55,-1.1500000000000001,-5.6,-6.4,northern_liberties,PA,Northern Liberties,1st,6th,First Appearance,,"City: Northern Liberties, PA<br>Census: 1st<br>Rank: 6th<br>First Appearance",right_lim,1.3
NORTHERN LIBERTIES,1,6,0,right,1.85,6,-2.55,-1.1500000000000001,-5.6,-6.4,northern_liberties,PA,Northern Liberties,1st,6th,First Appearance,,"City: Northern Liberties, PA<br>Census: 1st<br>Rank: 6th<br>First Appearance",left_lim,2.4000000000000004
SALEM,1,7,0,right,1.85,7,-2.55,-1.1500000000000001,-6.6,-7.4,salem,MA,Salem,1st,7th,First Appearance,,"City: Salem, MA<br>Census: 1st<br>Rank: 7th<br>First Appearance",right_lim,1.3
SALEM,1,7,0,right,1.85,7,-2.55,-1.1500000000000001,-6.6,-7.4,salem,MA,Salem,1st,7th,First Appearance,,"City: Salem, MA<br>Census: 1st<br>Rank: 7th<br>First Appearance",left_lim,2.4000000000000004
NEWPORT,1,8,0,right,1.85,8,-2.55,-1.1500000000000001,-7.6,-8.4,newport,RI,Newport,1st,8th,First Appearance,,"City: Newport, RI<br>Census: 1st<br>Rank: 8th<br>First Appearance",right_lim,1.3
NEWPORT,1,8,0,right,1.85,8,-2.55,-1.1500000000000001,-7.6,-8.4,newport,RI,Newport,1st,8th,First Appearance,,"City: Newport, RI<br>Census: 1st<br>Rank: 8th<br>First Appearance",left_lim,2.4000000000000004
PROVIDENCE,1,9,0,right,1.85,9,-2.55,-1.1500000000000001,-8.6,-9.4,providence,RI,Providence,1st,9th,First Appearance,,"City: Providence, RI<br>Census: 1st<br>Rank: 9th<br>First Appearance",right_lim,1.3
PROVIDENCE,1,9,0,right,1.85,9,-2.55,-1.1500000000000001,-8.6,-9.4,providence,RI,Providence,1st,9th,First Appearance,,"City: Providence, RI<br>Census: 1st<br>Rank: 9th<br>First Appearance",left_lim,2.4000000000000004
SOUTHWARK,1,10,0,right,1.85,10,-2.55,-1.1500000000000001,-9.6,-10.4,southwark,PA,Southwark,1st,10th,First Appearance,,"City: Southwark, PA<br>Census: 1st<br>Rank: 10th<br>First Appearance",right_lim,1.3
SOUTHWARK,1,10,0,right,1.85,10,-2.55,-1.1500000000000001,-9.6,-10.4,southwark,PA,Southwark,1st,10th,First Appearance,,"City: Southwark, PA<br>Census: 1st<br>Rank: 10th<br>First Appearance",left_lim,2.4000000000000004
MARBLEHEAD,1,11,0,right,1.85,11,-2.55,-1.1500000000000001,-10.6,-11.4,marblehead,MA,Marblehead,1st,11th,First Appearance,,"City: Marblehead, MA<br>Census: 1st<br>Rank: 11th<br>First Appearance",right_lim,1.3
MARBLEHEAD,1,11,0,right,1.85,11,-2.55,-1.1500000000000001,-10.6,-11.4,marblehead,MA,Marblehead,1st,11th,First Appearance,,"City: Marblehead, MA<br>Census: 1st<br>Rank: 11th<br>First Appearance",left_lim,2.4000000000000004
NEW ORLEANS,1,12,0,right,1.85,12,-2.55,-1.1500000000000001,-11.6,-12.4,new_orleans,LA,New Orleans,1st,12th,First Appearance,,"City: New Orleans, LA<br>Census: 1st<br>Rank: 12th<br>First Appearance",right_lim,1.3
NEW ORLEANS,1,12,0,right,1.85,12,-2.55,-1.1500000000000001,-11.6,-12.4,new_orleans,LA,New Orleans,1st,12th,First Appearance,,"City: New Orleans, LA<br>Census: 1st<br>Rank: 12th<br>First Appearance",left_lim,2.4000000000000004
GLOUCESTER,1,13,0,right,1.85,13,-2.55,-1.1500000000000001,-12.6,-13.4,gloucester,MA,Gloucester,1st,13th,First Appearance,,"City: Gloucester, MA<br>Census: 1st<br>Rank: 13th<br>First Appearance",right_lim,1.3
GLOUCESTER,1,13,0,right,1.85,13,-2.55,-1.1500000000000001,-12.6,-13.4,gloucester,MA,Gloucester,1st,13th,First Appearance,,"City: Gloucester, MA<br>Census: 1st<br>Rank: 13th<br>First Appearance",left_lim,2.4000000000000004
NEW YORK,2,1,0,NA,3.7,1,-4.4,-3,-0.6,-1.4,new_york,NY,New York,2nd,1st,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: New York, NY<br>Census: 2nd<br>Rank: 1st<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",right_lim,3.1500000000000004
NEW YORK,2,1,0,NA,3.7,1,-4.4,-3,-0.6,-1.4,new_york,NY,New York,2nd,1st,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: New York, NY<br>Census: 2nd<br>Rank: 1st<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",left_lim,4.25
PHILADELPHIA,2,2,0,NA,3.7,2,-4.4,-3,-1.6,-2.4,philadelphia,PA,Philadelphia,2nd,2nd,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: Philadelphia, PA<br>Census: 2nd<br>Rank: 2nd<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",right_lim,3.1500000000000004
PHILADELPHIA,2,2,0,NA,3.7,2,-4.4,-3,-1.6,-2.4,philadelphia,PA,Philadelphia,2nd,2nd,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: Philadelphia, PA<br>Census: 2nd<br>Rank: 2nd<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",left_lim,4.25
BALTIMORE,2,3,0,NA,3.7,3,-4.4,-3,-2.6,-3.4,baltimore,MD,Baltimore,2nd,3rd,Rank Change from Last Census: 2,<br>First Appearance: 1st Census,"City: Baltimore, MD<br>Census: 2nd<br>Rank: 3rd<br>Rank Change from Last Census: 2<br>First Appearance: 1st Census",right_lim,3.1500000000000004
BALTIMORE,2,3,0,NA,3.7,3,-4.4,-3,-2.6,-3.4,baltimore,MD,Baltimore,2nd,3rd,Rank Change from Last Census: 2,<br>First Appearance: 1st Census,"City: Baltimore, MD<br>Census: 2nd<br>Rank: 3rd<br>Rank Change from Last Census: 2<br>First Appearance: 1st Census",left_lim,4.25
BOSTON,2,4,0,NA,3.7,4,-4.4,-3,-3.6,-4.4,boston,MA,Boston,2nd,4th,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,"City: Boston, MA<br>Census: 2nd<br>Rank: 4th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census",right_lim,3.1500000000000004
BOSTON,2,4,0,NA,3.7,4,-4.4,-3,-3.6,-4.4,boston,MA,Boston,2nd,4th,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,"City: Boston, MA<br>Census: 2nd<br>Rank: 4th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census",left_lim,4.25
CHARLESTON,2,5,0,NA,3.7,5,-4.4,-3,-4.6,-5.4,charleston,SC,Charleston,2nd,5th,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,"City: Charleston, SC<br>Census: 2nd<br>Rank: 5th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census",right_lim,3.1500000000000004
CHARLESTON,2,5,0,NA,3.7,5,-4.4,-3,-4.6,-5.4,charleston,SC,Charleston,2nd,5th,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,"City: Charleston, SC<br>Census: 2nd<br>Rank: 5th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census",left_lim,4.25
NORTHERN LIBERTIES,2,6,0,NA,3.7,6,-4.4,-3,-5.6,-6.4,northern_liberties,PA,Northern Liberties,2nd,6th,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: Northern Liberties, PA<br>Census: 2nd<br>Rank: 6th<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",right_lim,3.1500000000000004
NORTHERN LIBERTIES,2,6,0,NA,3.7,6,-4.4,-3,-5.6,-6.4,northern_liberties,PA,Northern Liberties,2nd,6th,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: Northern Liberties, PA<br>Census: 2nd<br>Rank: 6th<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",left_lim,4.25
SOUTHWARK,2,7,0,NA,3.7,7,-4.4,-3,-6.6,-7.4,southwark,PA,Southwark,2nd,7th,Rank Change from Last Census: 3,<br>First Appearance: 1st Census,"City: Southwark, PA<br>Census: 2nd<br>Rank: 7th<br>Rank Change from Last Census: 3<br>First Appearance: 1st Census",right_lim,3.1500000000000004
SOUTHWARK,2,7,0,NA,3.7,7,-4.4,-3,-6.6,-7.4,southwark,PA,Southwark,2nd,7th,Rank Change from Last Census: 3,<br>First Appearance: 1st Census,"City: Southwark, PA<br>Census: 2nd<br>Rank: 7th<br>Rank Change from Last Census: 3<br>First Appearance: 1st Census",left_lim,4.25
SALEM,2,8,0,NA,3.7,8,-4.4,-3,-7.6,-8.4,salem,MA,Salem,2nd,8th,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,"City: Salem, MA<br>Census: 2nd<br>Rank: 8th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census",right_lim,3.1500000000000004
SALEM,2,8,0,NA,3.7,8,-4.4,-3,-7.6,-8.4,salem,MA,Salem,2nd,8th,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,"City: Salem, MA<br>Census: 2nd<br>Rank: 8th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census",left_lim,4.25
NEW ORLEANS,2,9,0,NA,3.7,9,-4.4,-3,-8.6,-9.4,new_orleans,LA,New Orleans,2nd,9th,Rank Change from Last Census: 3,<br>First Appearance: 1st Census,"City: New Orleans, LA<br>Census: 2nd<br>Rank: 9th<br>Rank Change from Last Census: 3<br>First Appearance: 1st Census",right_lim,3.1500000000000004
NEW ORLEANS,2,9,0,NA,3.7,9,-4.4,-3,-8.6,-9.4,new_orleans,LA,New Orleans,2nd,9th,Rank Change from Last Census: 3,<br>First Appearance: 1st Census,"City: New Orleans, LA<br>Census: 2nd<br>Rank: 9th<br>Rank Change from Last Census: 3<br>First Appearance: 1st Census",left_lim,4.25
PROVIDENCE,2,10,0,NA,3.7,10,-4.4,-3,-9.6,-10.4,providence,RI,Providence,2nd,10th,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,"City: Providence, RI<br>Census: 2nd<br>Rank: 10th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census",right_lim,3.1500000000000004
PROVIDENCE,2,10,0,NA,3.7,10,-4.4,-3,-9.6,-10.4,providence,RI,Providence,2nd,10th,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,"City: Providence, RI<br>Census: 2nd<br>Rank: 10th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census",left_lim,4.25
NORFOLK,2,11,1,NA,3.7,11,-4.4,-3,-10.6,-11.4,norfolk,VA,Norfolk,2nd,11th,First Appearance,,"City: Norfolk, VA<br>Census: 2nd<br>Rank: 11th<br>First Appearance",right_lim,3.1500000000000004
NORFOLK,2,11,1,NA,3.7,11,-4.4,-3,-10.6,-11.4,norfolk,VA,Norfolk,2nd,11th,First Appearance,,"City: Norfolk, VA<br>Census: 2nd<br>Rank: 11th<br>First Appearance",left_lim,4.25
NEWPORT,2,12,0,NA,3.7,12,-4.4,-3,-11.6,-12.4,newport,RI,Newport,2nd,12th,Rank Change from Last Census: -4,<br>First Appearance: 1st Census,"City: Newport, RI<br>Census: 2nd<br>Rank: 12th<br>Rank Change from Last Census: -4<br>First Appearance: 1st Census",right_lim,3.1500000000000004
NEWPORT,2,12,0,NA,3.7,12,-4.4,-3,-11.6,-12.4,newport,RI,Newport,2nd,12th,Rank Change from Last Census: -4,<br>First Appearance: 1st Census,"City: Newport, RI<br>Census: 2nd<br>Rank: 12th<br>Rank Change from Last Census: -4<br>First Appearance: 1st Census",left_lim,4.25
NEWBURYPORT,2,13,1,NA,3.7,13,-4.4,-3,-12.6,-13.4,newburyport,MA,Newburyport,2nd,13th,First Appearance,,"City: Newburyport, MA<br>Census: 2nd<br>Rank: 13th<br>First Appearance",right_lim,3.1500000000000004
NEWBURYPORT,2,13,1,NA,3.7,13,-4.4,-3,-12.6,-13.4,newburyport,MA,Newburyport,2nd,13th,First Appearance,,"City: Newburyport, MA<br>Census: 2nd<br>Rank: 13th<br>First Appearance",left_lim,4.25
RICHMOND,2,14,0,right,3.7,14,-4.4,-3,-13.6,-14.4,richmond,VA,Richmond,2nd,14th,First Appearance,,"City: Richmond, VA<br>Census: 2nd<br>Rank: 14th<br>First Appearance",right_lim,3.1500000000000004
RICHMOND,2,14,0,right,3.7,14,-4.4,-3,-13.6,-14.4,richmond,VA,Richmond,2nd,14th,First Appearance,,"City: Richmond, VA<br>Census: 2nd<br>Rank: 14th<br>First Appearance",left_lim,4.25
NANTUCKET,2,15,0,right,3.7,15,-4.4,-3,-14.6,-15.4,nantucket,MA,Nantucket,2nd,15th,First Appearance,,"City: Nantucket, MA<br>Census: 2nd<br>Rank: 15th<br>First Appearance",right_lim,3.1500000000000004
NANTUCKET,2,15,0,right,3.7,15,-4.4,-3,-14.6,-15.4,nantucket,MA,Nantucket,2nd,15th,First Appearance,,"City: Nantucket, MA<br>Census: 2nd<br>Rank: 15th<br>First Appearance",left_lim,4.25
PORTSMOUTH,2,16,0,right,3.7,16,-4.4,-3,-15.6,-16.4,portsmouth,NH,Portsmouth,2nd,16th,First Appearance,,"City: Portsmouth, NH<br>Census: 2nd<br>Rank: 16th<br>First Appearance",right_lim,3.1500000000000004
PORTSMOUTH,2,16,0,right,3.7,16,-4.4,-3,-15.6,-16.4,portsmouth,NH,Portsmouth,2nd,16th,First Appearance,,"City: Portsmouth, NH<br>Census: 2nd<br>Rank: 16th<br>First Appearance",left_lim,4.25
GLOUCESTER,2,17,0,right,3.7,17,-4.4,-3,-16.6,-17.4,gloucester,MA,Gloucester,2nd,17th,Rank Change from Last Census: -4,<br>First Appearance: 1st Census,"City: Gloucester, MA<br>Census: 2nd<br>Rank: 17th<br>Rank Change from Last Census: -4<br>First Appearance: 1st Census",right_lim,3.1500000000000004
GLOUCESTER,2,17,0,right,3.7,17,-4.4,-3,-16.6,-17.4,gloucester,MA,Gloucester,2nd,17th,Rank Change from Last Census: -4,<br>First Appearance: 1st Census,"City: Gloucester, MA<br>Census: 2nd<br>Rank: 17th<br>Rank Change from Last Census: -4<br>First Appearance: 1st Census",left_lim,4.25
ALBANY,2,18,0,right,3.7,18,-4.4,-3,-17.6,-18.4,albany,NY,Albany,2nd,18th,First Appearance,,"City: Albany, NY<br>Census: 2nd<br>Rank: 18th<br>First Appearance",right_lim,3.1500000000000004
ALBANY,2,18,0,right,3.7,18,-4.4,-3,-17.6,-18.4,albany,NY,Albany,2nd,18th,First Appearance,,"City: Albany, NY<br>Census: 2nd<br>Rank: 18th<br>First Appearance",left_lim,4.25
SCHENECTADY,2,19,0,right,3.7,19,-4.4,-3,-18.6,-19.4,schenectady,NY,Schenectady,2nd,19th,First Appearance,,"City: Schenectady, NY<br>Census: 2nd<br>Rank: 19th<br>First Appearance",right_lim,3.1500000000000004
SCHENECTADY,2,19,0,right,3.7,19,-4.4,-3,-18.6,-19.4,schenectady,NY,Schenectady,2nd,19th,First Appearance,,"City: Schenectady, NY<br>Census: 2nd<br>Rank: 19th<br>First Appearance",left_lim,4.25
MARBLEHEAD,2,20,0,right,3.7,20,-4.4,-3,-19.6,-20.4,marblehead,MA,Marblehead,2nd,20th,Rank Change from Last Census: -9,<br>First Appearance: 1st Census,"City: Marblehead, MA<br>Census: 2nd<br>Rank: 20th<br>Rank Change from Last Census: -9<br>First Appearance: 1st Census",right_lim,3.1500000000000004
MARBLEHEAD,2,20,0,right,3.7,20,-4.4,-3,-19.6,-20.4,marblehead,MA,Marblehead,2nd,20th,Rank Change from Last Census: -9,<br>First Appearance: 1st Census,"City: Marblehead, MA<br>Census: 2nd<br>Rank: 20th<br>Rank Change from Last Census: -9<br>First Appearance: 1st Census",left_lim,4.25
BRIDGEWATER,2,21,0,right,3.7,21,-4.4,-3,-20.6,-21.4,bridgewater,MA,Bridgewater,2nd,21st,First Appearance,,"City: Bridgewater, MA<br>Census: 2nd<br>Rank: 21st<br>First Appearance",right_lim,3.1500000000000004
BRIDGEWATER,2,21,0,right,3.7,21,-4.4,-3,-20.6,-21.4,bridgewater,MA,Bridgewater,2nd,21st,First Appearance,,"City: Bridgewater, MA<br>Census: 2nd<br>Rank: 21st<br>First Appearance",left_lim,4.25
SAVANNAH,2,22,0,right,3.7,22,-4.4,-3,-21.6,-22.4,savannah,GA,Savannah,2nd,22nd,First Appearance,,"City: Savannah, GA<br>Census: 2nd<br>Rank: 22nd<br>First Appearance",right_lim,3.1500000000000004
SAVANNAH,2,22,0,right,3.7,22,-4.4,-3,-21.6,-22.4,savannah,GA,Savannah,2nd,22nd,First Appearance,,"City: Savannah, GA<br>Census: 2nd<br>Rank: 22nd<br>First Appearance",left_lim,4.25
NEW YORK,3,1,0,NA,5.550000000000001,1,-6.250000000000001,-4.8500000000000005,-0.6,-1.4,new_york,NY,New York,3rd,1st,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: New York, NY<br>Census: 3rd<br>Rank: 1st<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",right_lim,5.000000000000001
NEW YORK,3,1,0,NA,5.550000000000001,1,-6.250000000000001,-4.8500000000000005,-0.6,-1.4,new_york,NY,New York,3rd,1st,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: New York, NY<br>Census: 3rd<br>Rank: 1st<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",left_lim,6.1000000000000005
PHILADELPHIA,3,2,0,NA,5.550000000000001,2,-6.250000000000001,-4.8500000000000005,-1.6,-2.4,philadelphia,PA,Philadelphia,3rd,2nd,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: Philadelphia, PA<br>Census: 3rd<br>Rank: 2nd<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",right_lim,5.000000000000001
PHILADELPHIA,3,2,0,NA,5.550000000000001,2,-6.250000000000001,-4.8500000000000005,-1.6,-2.4,philadelphia,PA,Philadelphia,3rd,2nd,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: Philadelphia, PA<br>Census: 3rd<br>Rank: 2nd<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",left_lim,6.1000000000000005
BALTIMORE,3,3,0,NA,5.550000000000001,3,-6.250000000000001,-4.8500000000000005,-2.6,-3.4,baltimore,MD,Baltimore,3rd,3rd,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: Baltimore, MD<br>Census: 3rd<br>Rank: 3rd<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",right_lim,5.000000000000001
BALTIMORE,3,3,0,NA,5.550000000000001,3,-6.250000000000001,-4.8500000000000005,-2.6,-3.4,baltimore,MD,Baltimore,3rd,3rd,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: Baltimore, MD<br>Census: 3rd<br>Rank: 3rd<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",left_lim,6.1000000000000005
BOSTON,3,4,0,NA,5.550000000000001,4,-6.250000000000001,-4.8500000000000005,-3.6,-4.4,boston,MA,Boston,3rd,4th,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: Boston, MA<br>Census: 3rd<br>Rank: 4th<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",right_lim,5.000000000000001
BOSTON,3,4,0,NA,5.550000000000001,4,-6.250000000000001,-4.8500000000000005,-3.6,-4.4,boston,MA,Boston,3rd,4th,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: Boston, MA<br>Census: 3rd<br>Rank: 4th<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",left_lim,6.1000000000000005
CHARLESTON,3,5,0,NA,5.550000000000001,5,-6.250000000000001,-4.8500000000000005,-4.6,-5.4,charleston,SC,Charleston,3rd,5th,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: Charleston, SC<br>Census: 3rd<br>Rank: 5th<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",right_lim,5.000000000000001
CHARLESTON,3,5,0,NA,5.550000000000001,5,-6.250000000000001,-4.8500000000000005,-4.6,-5.4,charleston,SC,Charleston,3rd,5th,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: Charleston, SC<br>Census: 3rd<br>Rank: 5th<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",left_lim,6.1000000000000005
NORTHERN LIBERTIES,3,6,0,NA,5.550000000000001,6,-6.250000000000001,-4.8500000000000005,-5.6,-6.4,northern_liberties,PA,Northern Liberties,3rd,6th,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: Northern Liberties, PA<br>Census: 3rd<br>Rank: 6th<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",right_lim,5.000000000000001
NORTHERN LIBERTIES,3,6,0,NA,5.550000000000001,6,-6.250000000000001,-4.8500000000000005,-5.6,-6.4,northern_liberties,PA,Northern Liberties,3rd,6th,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: Northern Liberties, PA<br>Census: 3rd<br>Rank: 6th<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",left_lim,6.1000000000000005
NEW ORLEANS,3,7,0,NA,5.550000000000001,7,-6.250000000000001,-4.8500000000000005,-6.6,-7.4,new_orleans,LA,New Orleans,3rd,7th,Rank Change from Last Census: 2,<br>First Appearance: 1st Census,"City: New Orleans, LA<br>Census: 3rd<br>Rank: 7th<br>Rank Change from Last Census: 2<br>First Appearance: 1st Census",right_lim,5.000000000000001
NEW ORLEANS,3,7,0,NA,5.550000000000001,7,-6.250000000000001,-4.8500000000000005,-6.6,-7.4,new_orleans,LA,New Orleans,3rd,7th,Rank Change from Last Census: 2,<br>First Appearance: 1st Census,"City: New Orleans, LA<br>Census: 3rd<br>Rank: 7th<br>Rank Change from Last Census: 2<br>First Appearance: 1st Census",left_lim,6.1000000000000005
SOUTHWARK,3,8,0,NA,5.550000000000001,8,-6.250000000000001,-4.8500000000000005,-7.6,-8.4,southwark,PA,Southwark,3rd,8th,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,"City: Southwark, PA<br>Census: 3rd<br>Rank: 8th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census",right_lim,5.000000000000001
SOUTHWARK,3,8,0,NA,5.550000000000001,8,-6.250000000000001,-4.8500000000000005,-7.6,-8.4,southwark,PA,Southwark,3rd,8th,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,"City: Southwark, PA<br>Census: 3rd<br>Rank: 8th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census",left_lim,6.1000000000000005
SALEM,3,9,0,NA,5.550000000000001,9,-6.250000000000001,-4.8500000000000005,-8.6,-9.4,salem,MA,Salem,3rd,9th,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,"City: Salem, MA<br>Census: 3rd<br>Rank: 9th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census",right_lim,5.000000000000001
SALEM,3,9,0,NA,5.550000000000001,9,-6.250000000000001,-4.8500000000000005,-8.6,-9.4,salem,MA,Salem,3rd,9th,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,"City: Salem, MA<br>Census: 3rd<br>Rank: 9th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census",left_lim,6.1000000000000005
ALBANY,3,10,0,NA,5.550000000000001,10,-6.250000000000001,-4.8500000000000005,-9.6,-10.4,albany,NY,Albany,3rd,10th,Rank Change from Last Census: 8,<br>First Appearance: 2nd Census,"City: Albany, NY<br>Census: 3rd<br>Rank: 10th<br>Rank Change from Last Census: 8<br>First Appearance: 2nd Census",right_lim,5.000000000000001
ALBANY,3,10,0,NA,5.550000000000001,10,-6.250000000000001,-4.8500000000000005,-9.6,-10.4,albany,NY,Albany,3rd,10th,Rank Change from Last Census: 8,<br>First Appearance: 2nd Census,"City: Albany, NY<br>Census: 3rd<br>Rank: 10th<br>Rank Change from Last Census: 8<br>First Appearance: 2nd Census",left_lim,6.1000000000000005
PROVIDENCE,3,11,0,NA,5.550000000000001,11,-6.250000000000001,-4.8500000000000005,-10.6,-11.4,providence,RI,Providence,3rd,11th,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,"City: Providence, RI<br>Census: 3rd<br>Rank: 11th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census",right_lim,5.000000000000001
PROVIDENCE,3,11,0,NA,5.550000000000001,11,-6.250000000000001,-4.8500000000000005,-10.6,-11.4,providence,RI,Providence,3rd,11th,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,"City: Providence, RI<br>Census: 3rd<br>Rank: 11th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census",left_lim,6.1000000000000005
RICHMOND,3,12,0,NA,5.550000000000001,12,-6.250000000000001,-4.8500000000000005,-11.6,-12.4,richmond,VA,Richmond,3rd,12th,Rank Change from Last Census: 2,<br>First Appearance: 2nd Census,"City: Richmond, VA<br>Census: 3rd<br>Rank: 12th<br>Rank Change from Last Census: 2<br>First Appearance: 2nd Census",right_lim,5.000000000000001
