State,Census,Rank,label,offset,x_place,Rank2,xmin_grob,xmax_grob,ymin_grob,ymax_grob,raster_name,toolState,toolcensus,toolrank,toolchange,firstcensus,tooltext,limit,limits_val
SOUTH CAROLINA,1,7,0,right,1.85,7,-2.55,-1.1500000000000001,-6.6,-7.4,south_carolina,South Carolina,1st,7th,First Appearance,,State: South Carolina<br>Census: 1st<br>Rank: 7th<br>First Appearance,right_lim,1.3
SOUTH CAROLINA,1,7,0,right,1.85,7,-2.55,-1.1500000000000001,-6.6,-7.4,south_carolina,South Carolina,1st,7th,First Appearance,,State: South Carolina<br>Census: 1st<br>Rank: 7th<br>First Appearance,left_lim,2.4000000000000004
CONNECTICUT,1,8,0,right,1.85,8,-2.55,-1.1500000000000001,-7.6,-8.4,connecticut,Connecticut,1st,8th,First Appearance,,State: Connecticut<br>Census: 1st<br>Rank: 8th<br>First Appearance,right_lim,1.3
CONNECTICUT,1,8,0,right,1.85,8,-2.55,-1.1500000000000001,-7.6,-8.4,connecticut,Connecticut,1st,8th,First Appearance,,State: Connecticut<br>Census: 1st<br>Rank: 8th<br>First Appearance,left_lim,2.4000000000000004
NEW JERSEY,1,9,0,right,1.85,9,-2.55,-1.1500000000000001,-8.6,-9.4,new_jersey,New Jersey,1st,9th,First Appearance,,State: New Jersey<br>Census: 1st<br>Rank: 9th<br>First Appearance,right_lim,1.3
NEW JERSEY,1,9,0,right,1.85,9,-2.55,-1.1500000000000001,-8.6,-9.4,new_jersey,New Jersey,1st,9th,First Appearance,,State: New Jersey<br>Census: 1st<br>Rank: 9th<br>First Appearance,left_lim,2.4000000000000004
NEW HAMPSHIRE,1,10,0,right,1.85,10,-2.55,-1.1500000000000001,-9.6,-10.4,new_hampshire,New Hampshire,1st,10th,First Appearance,,State: New Hampshire<br>Census: 1st<br>Rank: 10th<br>First Appearance,right_lim,1.3
NEW HAMPSHIRE,1,10,0,right,1.85,10,-2.55,-1.1500000000000001,-9.6,-10.4,new_hampshire,New Hampshire,1st,10th,First Appearance,,State: New Hampshire<br>Census: 1st<br>Rank: 10th<br>First Appearance,left_lim,2.4000000000000004
GEORGIA,1,11,0,right,1.85,11,-2.55,-1.1500000000000001,-10.6,-11.4,georgia,Georgia,1st,11th,First Appearance,,State: Georgia<br>Census: 1st<br>Rank: 11th<br>First Appearance,right_lim,1.3
GEORGIA,1,11,0,right,1.85,11,-2.55,-1.1500000000000001,-10.6,-11.4,georgia,Georgia,1st,11th,First Appearance,,State: Georgia<br>Census: 1st<br>Rank: 11th<br>First Appearance,left_lim,2.4000000000000004
RHODE ISLAND,1,12,0,right,1.85,12,-2.55,-1.1500000000000001,-11.6,-12.4,rhode_island,Rhode Island,1st,12th,First Appearance,,State: Rhode Island<br>Census: 1st<br>Rank: 12th<br>First Appearance,right_lim,1.3
RHODE ISLAND,1,12,0,right,1.85,12,-2.55,-1.1500000000000001,-11.6,-12.4,rhode_island,Rhode Island,1st,12th,First Appearance,,State: Rhode Island<br>Census: 1st<br>Rank: 12th<br>First Appearance,left_lim,2.4000000000000004
DELAWARE,1,13,0,right,1.85,13,-2.55,-1.1500000000000001,-12.6,-13.4,delaware,Delaware,1st,13th,First Appearance,,State: Delaware<br>Census: 1st<br>Rank: 13th<br>First Appearance,right_lim,1.3
DELAWARE,1,13,0,right,1.85,13,-2.55,-1.1500000000000001,-12.6,-13.4,delaware,Delaware,1st,13th,First Appearance,,State: Delaware<br>Census: 1st<br>Rank: 13th<br>First Appearance,left_lim,2.4000000000000004
VIRGINIA,2,1,0,NA,3.7,1,-4.4,-3,-0.6,-1.4,virginia,Virginia,2nd,1st,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,State: Virginia<br>Census: 2nd<br>Rank: 1st<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census,right_lim,3.1500000000000004
VIRGINIA,2,1,0,NA,3.7,1,-4.4,-3,-0.6,-1.4,virginia,Virginia,2nd,1st,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,State: Virginia<br>Census: 2nd<br>Rank: 1st<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census,left_lim,4.25
PENNSYLVANIA,2,2,0,NA,3.7,2,-4.4,-3,-1.6,-2.4,pennsylvania,Pennsylvania,2nd,2nd,Rank Change from Last Census: 1,<br>First Appearance: 1st Census,State: Pennsylvania<br>Census: 2nd<br>Rank: 2nd<br>Rank Change from Last Census: 1<br>First Appearance: 1st Census,right_lim,3.1500000000000004
PENNSYLVANIA,2,2,0,NA,3.7,2,-4.4,-3,-1.6,-2.4,pennsylvania,Pennsylvania,2nd,2nd,Rank Change from Last Census: 1,<br>First Appearance: 1st Census,State: Pennsylvania<br>Census: 2nd<br>Rank: 2nd<br>Rank Change from Last Census: 1<br>First Appearance: 1st Census,left_lim,4.25
NEW YORK,2,3,0,NA,3.7,3,-4.4,-3,-2.6,-3.4,new_york,New York,2nd,3rd,Rank Change from Last Census: 1,<br>First Appearance: 1st Census,State: New York<br>Census: 2nd<br>Rank: 3rd<br>Rank Change from Last Census: 1<br>First Appearance: 1st Census,right_lim,3.1500000000000004
NEW YORK,2,3,0,NA,3.7,3,-4.4,-3,-2.6,-3.4,new_york,New York,2nd,3rd,Rank Change from Last Census: 1,<br>First Appearance: 1st Census,State: New York<br>Census: 2nd<br>Rank: 3rd<br>Rank Change from Last Census: 1<br>First Appearance: 1st Census,left_lim,4.25
MASSACHUSETTS,2,4,0,NA,3.7,4,-4.4,-3,-3.6,-4.4,massachusetts,Massachusetts,2nd,4th,Rank Change from Last Census: -2,<br>First Appearance: 1st Census,State: Massachusetts<br>Census: 2nd<br>Rank: 4th<br>Rank Change from Last Census: -2<br>First Appearance: 1st Census,right_lim,3.1500000000000004
MASSACHUSETTS,2,4,0,NA,3.7,4,-4.4,-3,-3.6,-4.4,massachusetts,Massachusetts,2nd,4th,Rank Change from Last Census: -2,<br>First Appearance: 1st Census,State: Massachusetts<br>Census: 2nd<br>Rank: 4th<br>Rank Change from Last Census: -2<br>First Appearance: 1st Census,left_lim,4.25
NORTH CAROLINA,2,5,0,NA,3.7,5,-4.4,-3,-4.6,-5.4,north_carolina,North Carolina,2nd,5th,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,State: North Carolina<br>Census: 2nd<br>Rank: 5th<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census,right_lim,3.1500000000000004
NORTH CAROLINA,2,5,0,NA,3.7,5,-4.4,-3,-4.6,-5.4,north_carolina,North Carolina,2nd,5th,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,State: North Carolina<br>Census: 2nd<br>Rank: 5th<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census,left_lim,4.25
SOUTH CAROLINA,2,6,0,NA,3.7,6,-4.4,-3,-5.6,-6.4,south_carolina,South Carolina,2nd,6th,Rank Change from Last Census: 1,<br>First Appearance: 1st Census,State: South Carolina<br>Census: 2nd<br>Rank: 6th<br>Rank Change from Last Census: 1<br>First Appearance: 1st Census,right_lim,3.1500000000000004
SOUTH CAROLINA,2,6,0,NA,3.7,6,-4.4,-3,-5.6,-6.4,south_carolina,South Carolina,2nd,6th,Rank Change from Last Census: 1,<br>First Appearance: 1st Census,State: South Carolina<br>Census: 2nd<br>Rank: 6th<br>Rank Change from Last Census: 1<br>First Appearance: 1st Census,left_lim,4.25
MARYLAND,2,7,0,NA,3.7,7,-4.4,-3,-6.6,-7.4,maryland,Maryland,2nd,7th,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,State: Maryland<br>Census: 2nd<br>Rank: 7th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census,right_lim,3.1500000000000004
MARYLAND,2,7,0,NA,3.7,7,-4.4,-3,-6.6,-7.4,maryland,Maryland,2nd,7th,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,State: Maryland<br>Census: 2nd<br>Rank: 7th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census,left_lim,4.25
CONNECTICUT,2,8,0,NA,3.7,8,-4.4,-3,-7.6,-8.4,connecticut,Connecticut,2nd,8th,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,State: Connecticut<br>Census: 2nd<br>Rank: 8th<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census,right_lim,3.1500000000000004
CONNECTICUT,2,8,0,NA,3.7,8,-4.4,-3,-7.6,-8.4,connecticut,Connecticut,2nd,8th,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,State: Connecticut<br>Census: 2nd<br>Rank: 8th<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census,left_lim,4.25
KENTUCKY,2,9,1,NA,3.7,9,-4.4,-3,-8.6,-9.4,kentucky,Kentucky,2nd,9th,First Appearance,,State: Kentucky<br>Census: 2nd<br>Rank: 9th<br>First Appearance,right_lim,3.1500000000000004
KENTUCKY,2,9,1,NA,3.7,9,-4.4,-3,-8.6,-9.4,kentucky,Kentucky,2nd,9th,First Appearance,,State: Kentucky<br>Census: 2nd<br>Rank: 9th<br>First Appearance,left_lim,4.25
NEW JERSEY,2,10,0,NA,3.7,10,-4.4,-3,-9.6,-10.4,new_jersey,New Jersey,2nd,10th,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,State: New Jersey<br>Census: 2nd<br>Rank: 10th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census,right_lim,3.1500000000000004
NEW JERSEY,2,10,0,NA,3.7,10,-4.4,-3,-9.6,-10.4,new_jersey,New Jersey,2nd,10th,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,State: New Jersey<br>Census: 2nd<br>Rank: 10th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census,left_lim,4.25
NEW HAMPSHIRE,2,11,0,NA,3.7,11,-4.4,-3,-10.6,-11.4,new_hampshire,New Hampshire,2nd,11th,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,State: New Hampshire<br>Census: 2nd<br>Rank: 11th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census,right_lim,3.1500000000000004
NEW HAMPSHIRE,2,11,0,NA,3.7,11,-4.4,-3,-10.6,-11.4,new_hampshire,New Hampshire,2nd,11th,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,State: New Hampshire<br>Census: 2nd<br>Rank: 11th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census,left_lim,4.25
GEORGIA,2,12,0,NA,3.7,12,-4.4,-3,-11.6,-12.4,georgia,Georgia,2nd,12th,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,State: Georgia<br>Census: 2nd<br>Rank: 12th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census,right_lim,3.1500000000000004
GEORGIA,2,12,0,NA,3.7,12,-4.4,-3,-11.6,-12.4,georgia,Georgia,2nd,12th,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,State: Georgia<br>Census: 2nd<br>Rank: 12th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census,left_lim,4.25
VERMONT,2,13,1,NA,3.7,13,-4.4,-3,-12.6,-13.4,vermont,Vermont,2nd,13th,First Appearance,,State: Vermont<br>Census: 2nd<br>Rank: 13th<br>First Appearance,right_lim,3.1500000000000004
VERMONT,2,13,1,NA,3.7,13,-4.4,-3,-12.6,-13.4,vermont,Vermont,2nd,13th,First Appearance,,State: Vermont<br>Census: 2nd<br>Rank: 13th<br>First Appearance,left_lim,4.25
TENNESSEE,2,14,0,right,3.7,14,-4.4,-3,-13.6,-14.4,tennessee,Tennessee,2nd,14th,First Appearance,,State: Tennessee<br>Census: 2nd<br>Rank: 14th<br>First Appearance,right_lim,3.1500000000000004
TENNESSEE,2,14,0,right,3.7,14,-4.4,-3,-13.6,-14.4,tennessee,Tennessee,2nd,14th,First Appearance,,State: Tennessee<br>Census: 2nd<br>Rank: 14th<br>First Appearance,left_lim,4.25
RHODE ISLAND,2,15,0,right,3.7,15,-4.4,-3,-14.6,-15.4,rhode_island,Rhode Island,2nd,15th,Rank Change from Last Census: -3,<br>First Appearance: 1st Census,State: Rhode Island<br>Census: 2nd<br>Rank: 15th<br>Rank Change from Last Census: -3<br>First Appearance: 1st Census,right_lim,3.1500000000000004
RHODE ISLAND,2,15,0,right,3.7,15,-4.4,-3,-14.6,-15.4,rhode_island,Rhode Island,2nd,15th,Rank Change from Last Census: -3,<br>First Appearance: 1st Census,State: Rhode Island<br>Census: 2nd<br>Rank: 15th<br>Rank Change from Last Census: -3<br>First Appearance: 1st Census,left_lim,4.25
DELAWARE,2,16,0,right,3.7,16,-4.4,-3,-15.6,-16.4,delaware,Delaware,2nd,16th,Rank Change from Last Census: -3,<br>First Appearance: 1st Census,State: Delaware<br>Census: 2nd<br>Rank: 16th<br>Rank Change from Last Census: -3<br>First Appearance: 1st Census,right_lim,3.1500000000000004
DELAWARE,2,16,0,right,3.7,16,-4.4,-3,-15.6,-16.4,delaware,Delaware,2nd,16th,Rank Change from Last Census: -3,<br>First Appearance: 1st Census,State: Delaware<br>Census: 2nd<br>Rank: 16th<br>Rank Change from Last Census: -3<br>First Appearance: 1st Census,left_lim,4.25
OHIO,2,17,0,right,3.7,17,-4.4,-3,-16.6,-17.4,ohio,Ohio,2nd,17th,First Appearance,,State: Ohio<br>Census: 2nd<br>Rank: 17th<br>First Appearance,right_lim,3.1500000000000004
OHIO,2,17,0,right,3.7,17,-4.4,-3,-16.6,-17.4,ohio,Ohio,2nd,17th,First Appearance,,State: Ohio<br>Census: 2nd<br>Rank: 17th<br>First Appearance,left_lim,4.25
DISTRICT OF_COLUMBIA,2,18,0,right,3.7,18,-4.4,-3,-17.6,-18.4,district_of_columbia,District of Columbia,2nd,18th,First Appearance,,State: District of Columbia<br>Census: 2nd<br>Rank: 18th<br>First Appearance,right_lim,3.1500000000000004
DISTRICT OF_COLUMBIA,2,18,0,right,3.7,18,-4.4,-3,-17.6,-18.4,district_of_columbia,District of Columbia,2nd,18th,First Appearance,,State: District of Columbia<br>Census: 2nd<br>Rank: 18th<br>First Appearance,left_lim,4.25
MISSISSIPPI,2,19,0,right,3.7,19,-4.4,-3,-18.6,-19.4,mississippi,Mississippi,2nd,19th,First Appearance,,State: Mississippi<br>Census: 2nd<br>Rank: 19th<br>First Appearance,right_lim,3.1500000000000004
MISSISSIPPI,2,19,0,right,3.7,19,-4.4,-3,-18.6,-19.4,mississippi,Mississippi,2nd,19th,First Appearance,,State: Mississippi<br>Census: 2nd<br>Rank: 19th<br>First Appearance,left_lim,4.25
INDIANA,2,20,0,right,3.7,20,-4.4,-3,-19.6,-20.4,indiana,Indiana,2nd,20th,First Appearance,,State: Indiana<br>Census: 2nd<br>Rank: 20th<br>First Appearance,right_lim,3.1500000000000004
INDIANA,2,20,0,right,3.7,20,-4.4,-3,-19.6,-20.4,indiana,Indiana,2nd,20th,First Appearance,,State: Indiana<br>Census: 2nd<br>Rank: 20th<br>First Appearance,left_lim,4.25
VIRGINIA,3,1,0,NA,5.550000000000001,1,-6.250000000000001,-4.8500000000000005,-0.6,-1.4,virginia,Virginia,3rd,1st,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,State: Virginia<br>Census: 3rd<br>Rank: 1st<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census,right_lim,5.000000000000001
VIRGINIA,3,1,0,NA,5.550000000000001,1,-6.250000000000001,-4.8500000000000005,-0.6,-1.4,virginia,Virginia,3rd,1st,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,State: Virginia<br>Census: 3rd<br>Rank: 1st<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census,left_lim,6.1000000000000005
NEW YORK,3,2,0,NA,5.550000000000001,2,-6.250000000000001,-4.8500000000000005,-1.6,-2.4,new_york,New York,3rd,2nd,Rank Change from Last Census: 1,<br>First Appearance: 1st Census,State: New York<br>Census: 3rd<br>Rank: 2nd<br>Rank Change from Last Census: 1<br>First Appearance: 1st Census,right_lim,5.000000000000001
NEW YORK,3,2,0,NA,5.550000000000001,2,-6.250000000000001,-4.8500000000000005,-1.6,-2.4,new_york,New York,3rd,2nd,Rank Change from Last Census: 1,<br>First Appearance: 1st Census,State: New York<br>Census: 3rd<br>Rank: 2nd<br>Rank Change from Last Census: 1<br>First Appearance: 1st Census,left_lim,6.1000000000000005
PENNSYLVANIA,3,3,0,NA,5.550000000000001,3,-6.250000000000001,-4.8500000000000005,-2.6,-3.4,pennsylvania,Pennsylvania,3rd,3rd,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,State: Pennsylvania<br>Census: 3rd<br>Rank: 3rd<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census,right_lim,5.000000000000001
PENNSYLVANIA,3,3,0,NA,5.550000000000001,3,-6.250000000000001,-4.8500000000000005,-2.6,-3.4,pennsylvania,Pennsylvania,3rd,3rd,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,State: Pennsylvania<br>Census: 3rd<br>Rank: 3rd<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census,left_lim,6.1000000000000005
MASSACHUSETTS,3,4,0,NA,5.550000000000001,4,-6.250000000000001,-4.8500000000000005,-3.6,-4.4,massachusetts,Massachusetts,3rd,4th,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,State: Massachusetts<br>Census: 3rd<br>Rank: 4th<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census,right_lim,5.000000000000001
MASSACHUSETTS,3,4,0,NA,5.550000000000001,4,-6.250000000000001,-4.8500000000000005,-3.6,-4.4,massachusetts,Massachusetts,3rd,4th,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,State: Massachusetts<br>Census: 3rd<br>Rank: 4th<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census,left_lim,6.1000000000000005
NORTH CAROLINA,3,5,0,NA,5.550000000000001,5,-6.250000000000001,-4.8500000000000005,-4.6,-5.4,north_carolina,North Carolina,3rd,5th,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,State: North Carolina<br>Census: 3rd<br>Rank: 5th<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census,right_lim,5.000000000000001
NORTH CAROLINA,3,5,0,NA,5.550000000000001,5,-6.250000000000001,-4.8500000000000005,-4.6,-5.4,north_carolina,North Carolina,3rd,5th,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,State: North Carolina<br>Census: 3rd<br>Rank: 5th<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census,left_lim,6.1000000000000005
SOUTH CAROLINA,3,6,0,NA,5.550000000000001,6,-6.250000000000001,-4.8500000000000005,-5.6,-6.4,south_carolina,South Carolina,3rd,6th,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,State: South Carolina<br>Census: 3rd<br>Rank: 6th<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census,right_lim,5.000000000000001
SOUTH CAROLINA,3,6,0,NA,5.550000000000001,6,-6.250000000000001,-4.8500000000000005,-5.6,-6.4,south_carolina,South Carolina,3rd,6th,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,State: South Carolina<br>Census: 3rd<br>Rank: 6th<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census,left_lim,6.1000000000000005
KENTUCKY,3,7,0,NA,5.550000000000001,7,-6.250000000000001,-4.8500000000000005,-6.6,-7.4,kentucky,Kentucky,3rd,7th,Rank Change from Last Census: 2,<br>First Appearance: 2nd Census,State: Kentucky<br>Census: 3rd<br>Rank: 7th<br>Rank Change from Last Census: 2<br>First Appearance: 2nd Census,right_lim,5.000000000000001
KENTUCKY,3,7,0,NA,5.550000000000001,7,-6.250000000000001,-4.8500000000000005,-6.6,-7.4,kentucky,Kentucky,3rd,7th,Rank Change from Last Census: 2,<br>First Appearance: 2nd Census,State: Kentucky<br>Census: 3rd<br>Rank: 7th<br>Rank Change from Last Census: 2<br>First Appearance: 2nd Census,left_lim,6.1000000000000005
MARYLAND,3,8,0,NA,5.550000000000001,8,-6.250000000000001,-4.8500000000000005,-7.6,-8.4,maryland,Maryland,3rd,8th,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,State: Maryland<br>Census: 3rd<br>Rank: 8th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census,right_lim,5.000000000000001
MARYLAND,3,8,0,NA,5.550000000000001,8,-6.250000000000001,-4.8500000000000005,-7.6,-8.4,maryland,Maryland,3rd,8th,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,State: Maryland<br>Census: 3rd<br>Rank: 8th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census,left_lim,6.1000000000000005
CONNECTICUT,3,9,0,NA,5.550000000000001,9,-6.250000000000001,-4.8500000000000005,-8.6,-9.4,connecticut,Connecticut,3rd,9th,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,State: Connecticut<br>Census: 3rd<br>Rank: 9th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census,right_lim,5.000000000000001
CONNECTICUT,3,9,0,NA,5.550000000000001,9,-6.250000000000001,-4.8500000000000005,-8.6,-9.4,connecticut,Connecticut,3rd,9th,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,State: Connecticut<br>Census: 3rd<br>Rank: 9th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census,left_lim,6.1000000000000005
TENNESSEE,3,10,0,NA,5.550000000000001,10,-6.250000000000001,-4.8500000000000005,-9.6,-10.4,tennessee,Tennessee,3rd,10th,Rank Change from Last Census: 4,<br>First Appearance: 2nd Census,State: Tennessee<br>Census: 3rd<br>Rank: 10th<br>Rank Change from Last Census: 4<br>First Appearance: 2nd Census,right_lim,5.000000000000001
TENNESSEE,3,10,0,NA,5.550000000000001,10,-6.250000000000001,-4.8500000000000005,-9.6,-10.4,tennessee,Tennessee,3rd,10th,Rank Change from Last Census: 4,<br>First Appearance: 2nd Census,State: Tennessee<br>Census: 3rd<br>Rank: 10th<br>Rank Change from Last Census: 4<br>First Appearance: 2nd Census,left_lim,6.1000000000000005
GEORGIA,3,11,0,NA,5.550000000000001,11,-6.250000000000001,-4.8500000000000005,-10.6,-11.4,georgia,Georgia,3rd,11th,Rank Change from Last Census: 1,<br>First Appearance: 1st Census,State: Georgia<br>Census: 3rd<br>Rank: 11th<br>Rank Change from Last Census: 1<br>First Appearance: 1st Census,right_lim,5.000000000000001
GEORGIA,3,11,0,NA,5.550000000000001,11,-6.250000000000001,-4.8500000000000005,-10.6,-11.4,georgia,Georgia,3rd,11th,Rank Change from Last Census: 1,<br>First Appearance: 1st Census,State: Georgia<br>Census: 3rd<br>Rank: 11th<br>Rank Change from Last Census: 1<br>First Appearance: 1st Census,left_lim,6.1000000000000005
NEW JERSEY,3,12,0,NA,5.550000000000001,12,-6.250000000000001,-4.8500000000000005,-11.6,-12.4,new_jersey,New Jersey,3rd,12th,Rank Change from Last Census: -2,<br>First Appearance: 1st Census,State: New Jersey<br>Census: 3rd<br>Rank: 12th<br>Rank Change from Last Census: -2<br>First Appearance: 1st Census,right_lim,5.000000000000001
NEW JERSEY,3,12,0,NA,5.550000000000001,12,-6.250000000000001,-4.8500000000000005,-11.6,-12.4,new_jersey,New Jersey,3rd,12th,Rank Change from Last Census: -2,<br>First Appearance: 1st Census,State: New Jersey<br>Census: 3rd<br>Rank: 12th<br>Rank Change from Last Census: -2<br>First Appearance: 1st Census,left_lim,6.1000000000000005
OHIO,3,13,0,NA,5.550000000000001,13,-6.250000000000001,-4.8500000000000005,-12.6,-13.4,ohio,Ohio,3rd,13th,Rank Change from Last Census: 4,<br>First Appearance: 2nd Census,State: Ohio<br>Census: 3rd<br>Rank: 13th<br>Rank Change from Last Census: 4<br>First Appearance: 2nd Census,right_lim,5.000000000000001
OHIO,3,13,0,NA,5.550000000000001,13,-6.250000000000001,-4.8500000000000005,-12.6,-13.4,ohio,Ohio,3rd,13th,Rank Change from Last Census: 4,<br>First Appearance: 2nd Census,State: Ohio<br>Census: 3rd<br>Rank: 13th<br>Rank Change from Last Census: 4<br>First Appearance: 2nd Census,left_lim,6.1000000000000005
VERMONT,3,14,0,NA,5.550000000000001,14,-6.250000000000001,-4.8500000000000005,-13.6,-14.4,vermont,Vermont,3rd,14th,Rank Change from Last Census: -1,<br>First Appearance: 2nd Census,State: Vermont<br>Census: 3rd<br>Rank: 14th<br>Rank Change from Last Census: -1<br>First Appearance: 2nd Census,right_lim,5.000000000000001
VERMONT,3,14,0,NA,5.550000000000001,14,-6.250000000000001,-4.8500000000000005,-13.6,-14.4,vermont,Vermont,3rd,14th,Rank Change from Last Census: -1,<br>First Appearance: 2nd Census,State: Vermont<br>Census: 3rd<br>Rank: 14th<br>Rank Change from Last Census: -1<br>First Appearance: 2nd Census,left_lim,6.1000000000000005
