City,Census,Rank,label,offset,Rank2,xmin_grob,xmax_grob,ymin_grob,ymax_grob,raster_name,toolcity,toolcensus,toolrank,state,toolchange,firstcensus,tooltext,limit,limits_val
NORTHERN LIBERTIES,2,6,0,right,6,-2.7,-1.3,-5.6,-6.4,northern_liberties,Northern Liberties,1st,6th,PA,First Appearance,,"City: Northern Liberties, PA<br>Census: 1st<br>Rank: 6th<br>First Appearance",right_lim,1.45
NORTHERN LIBERTIES,2,6,0,right,6,-2.7,-1.3,-5.6,-6.4,northern_liberties,Northern Liberties,1st,6th,PA,First Appearance,,"City: Northern Liberties, PA<br>Census: 1st<br>Rank: 6th<br>First Appearance",left_lim,2.55
SALEM,2,7,0,right,7,-2.7,-1.3,-6.6,-7.4,salem,Salem,1st,7th,MA,First Appearance,,"City: Salem, MA<br>Census: 1st<br>Rank: 7th<br>First Appearance",right_lim,1.45
SALEM,2,7,0,right,7,-2.7,-1.3,-6.6,-7.4,salem,Salem,1st,7th,MA,First Appearance,,"City: Salem, MA<br>Census: 1st<br>Rank: 7th<br>First Appearance",left_lim,2.55
NEWPORT,2,8,0,right,8,-2.7,-1.3,-7.6,-8.4,newport,Newport,1st,8th,RI,First Appearance,,"City: Newport, RI<br>Census: 1st<br>Rank: 8th<br>First Appearance",right_lim,1.45
NEWPORT,2,8,0,right,8,-2.7,-1.3,-7.6,-8.4,newport,Newport,1st,8th,RI,First Appearance,,"City: Newport, RI<br>Census: 1st<br>Rank: 8th<br>First Appearance",left_lim,2.55
PROVIDENCE,2,9,0,right,9,-2.7,-1.3,-8.6,-9.4,providence,Providence,1st,9th,RI,First Appearance,,"City: Providence, RI<br>Census: 1st<br>Rank: 9th<br>First Appearance",right_lim,1.45
PROVIDENCE,2,9,0,right,9,-2.7,-1.3,-8.6,-9.4,providence,Providence,1st,9th,RI,First Appearance,,"City: Providence, RI<br>Census: 1st<br>Rank: 9th<br>First Appearance",left_lim,2.55
SOUTHWARK,2,10,0,right,10,-2.7,-1.3,-9.6,-10.4,southwark,Southwark,1st,10th,PA,First Appearance,,"City: Southwark, PA<br>Census: 1st<br>Rank: 10th<br>First Appearance",right_lim,1.45
SOUTHWARK,2,10,0,right,10,-2.7,-1.3,-9.6,-10.4,southwark,Southwark,1st,10th,PA,First Appearance,,"City: Southwark, PA<br>Census: 1st<br>Rank: 10th<br>First Appearance",left_lim,2.55
MARBLEHEAD,2,11,0,right,11,-2.7,-1.3,-10.6,-11.4,marblehead,Marblehead,1st,11th,MA,First Appearance,,"City: Marblehead, MA<br>Census: 1st<br>Rank: 11th<br>First Appearance",right_lim,1.45
MARBLEHEAD,2,11,0,right,11,-2.7,-1.3,-10.6,-11.4,marblehead,Marblehead,1st,11th,MA,First Appearance,,"City: Marblehead, MA<br>Census: 1st<br>Rank: 11th<br>First Appearance",left_lim,2.55
NEW ORLEANS,2,12,0,right,12,-2.7,-1.3,-11.6,-12.4,new_orleans,New Orleans,1st,12th,LA,First Appearance,,"City: New Orleans, LA<br>Census: 1st<br>Rank: 12th<br>First Appearance",right_lim,1.45
NEW ORLEANS,2,12,0,right,12,-2.7,-1.3,-11.6,-12.4,new_orleans,New Orleans,1st,12th,LA,First Appearance,,"City: New Orleans, LA<br>Census: 1st<br>Rank: 12th<br>First Appearance",left_lim,2.55
GLOUCESTER,2,13,0,right,13,-2.7,-1.3,-12.6,-13.4,gloucester,Gloucester,1st,13th,MA,First Appearance,,"City: Gloucester, MA<br>Census: 1st<br>Rank: 13th<br>First Appearance",right_lim,1.45
GLOUCESTER,2,13,0,right,13,-2.7,-1.3,-12.6,-13.4,gloucester,Gloucester,1st,13th,MA,First Appearance,,"City: Gloucester, MA<br>Census: 1st<br>Rank: 13th<br>First Appearance",left_lim,2.55
NEW YORK,4,1,0,NA,1,-4.7,-3.3,-0.6,-1.4,new_york,New York,2nd,1st,NY,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: New York, NY<br>Census: 2nd<br>Rank: 1st<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",right_lim,3.45
NEW YORK,4,1,0,NA,1,-4.7,-3.3,-0.6,-1.4,new_york,New York,2nd,1st,NY,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: New York, NY<br>Census: 2nd<br>Rank: 1st<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",left_lim,4.55
PHILADELPHIA,4,2,0,NA,2,-4.7,-3.3,-1.6,-2.4,philadelphia,Philadelphia,2nd,2nd,PA,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: Philadelphia, PA<br>Census: 2nd<br>Rank: 2nd<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",right_lim,3.45
PHILADELPHIA,4,2,0,NA,2,-4.7,-3.3,-1.6,-2.4,philadelphia,Philadelphia,2nd,2nd,PA,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: Philadelphia, PA<br>Census: 2nd<br>Rank: 2nd<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",left_lim,4.55
BALTIMORE,4,3,0,NA,3,-4.7,-3.3,-2.6,-3.4,baltimore,Baltimore,2nd,3rd,MD,Rank Change from Last Census: 2,<br>First Appearance: 1st Census,"City: Baltimore, MD<br>Census: 2nd<br>Rank: 3rd<br>Rank Change from Last Census: 2<br>First Appearance: 1st Census",right_lim,3.45
BALTIMORE,4,3,0,NA,3,-4.7,-3.3,-2.6,-3.4,baltimore,Baltimore,2nd,3rd,MD,Rank Change from Last Census: 2,<br>First Appearance: 1st Census,"City: Baltimore, MD<br>Census: 2nd<br>Rank: 3rd<br>Rank Change from Last Census: 2<br>First Appearance: 1st Census",left_lim,4.55
BOSTON,4,4,0,NA,4,-4.7,-3.3,-3.6,-4.4,boston,Boston,2nd,4th,MA,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,"City: Boston, MA<br>Census: 2nd<br>Rank: 4th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census",right_lim,3.45
BOSTON,4,4,0,NA,4,-4.7,-3.3,-3.6,-4.4,boston,Boston,2nd,4th,MA,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,"City: Boston, MA<br>Census: 2nd<br>Rank: 4th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census",left_lim,4.55
CHARLESTON,4,5,0,NA,5,-4.7,-3.3,-4.6,-5.4,charleston,Charleston,2nd,5th,SC,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,"City: Charleston, SC<br>Census: 2nd<br>Rank: 5th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census",right_lim,3.45
CHARLESTON,4,5,0,NA,5,-4.7,-3.3,-4.6,-5.4,charleston,Charleston,2nd,5th,SC,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,"City: Charleston, SC<br>Census: 2nd<br>Rank: 5th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census",left_lim,4.55
NORTHERN LIBERTIES,4,6,0,NA,6,-4.7,-3.3,-5.6,-6.4,northern_liberties,Northern Liberties,2nd,6th,PA,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: Northern Liberties, PA<br>Census: 2nd<br>Rank: 6th<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",right_lim,3.45
NORTHERN LIBERTIES,4,6,0,NA,6,-4.7,-3.3,-5.6,-6.4,northern_liberties,Northern Liberties,2nd,6th,PA,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: Northern Liberties, PA<br>Census: 2nd<br>Rank: 6th<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",left_lim,4.55
SOUTHWARK,4,7,0,NA,7,-4.7,-3.3,-6.6,-7.4,southwark,Southwark,2nd,7th,PA,Rank Change from Last Census: 3,<br>First Appearance: 1st Census,"City: Southwark, PA<br>Census: 2nd<br>Rank: 7th<br>Rank Change from Last Census: 3<br>First Appearance: 1st Census",right_lim,3.45
SOUTHWARK,4,7,0,NA,7,-4.7,-3.3,-6.6,-7.4,southwark,Southwark,2nd,7th,PA,Rank Change from Last Census: 3,<br>First Appearance: 1st Census,"City: Southwark, PA<br>Census: 2nd<br>Rank: 7th<br>Rank Change from Last Census: 3<br>First Appearance: 1st Census",left_lim,4.55
SALEM,4,8,0,NA,8,-4.7,-3.3,-7.6,-8.4,salem,Salem,2nd,8th,MA,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,"City: Salem, MA<br>Census: 2nd<br>Rank: 8th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census",right_lim,3.45
SALEM,4,8,0,NA,8,-4.7,-3.3,-7.6,-8.4,salem,Salem,2nd,8th,MA,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,"City: Salem, MA<br>Census: 2nd<br>Rank: 8th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census",left_lim,4.55
NEW ORLEANS,4,9,0,NA,9,-4.7,-3.3,-8.6,-9.4,new_orleans,New Orleans,2nd,9th,LA,Rank Change from Last Census: 3,<br>First Appearance: 1st Census,"City: New Orleans, LA<br>Census: 2nd<br>Rank: 9th<br>Rank Change from Last Census: 3<br>First Appearance: 1st Census",right_lim,3.45
NEW ORLEANS,4,9,0,NA,9,-4.7,-3.3,-8.6,-9.4,new_orleans,New Orleans,2nd,9th,LA,Rank Change from Last Census: 3,<br>First Appearance: 1st Census,"City: New Orleans, LA<br>Census: 2nd<br>Rank: 9th<br>Rank Change from Last Census: 3<br>First Appearance: 1st Census",left_lim,4.55
PROVIDENCE,4,10,0,NA,10,-4.7,-3.3,-9.6,-10.4,providence,Providence,2nd,10th,RI,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,"City: Providence, RI<br>Census: 2nd<br>Rank: 10th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census",right_lim,3.45
PROVIDENCE,4,10,0,NA,10,-4.7,-3.3,-9.6,-10.4,providence,Providence,2nd,10th,RI,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,"City: Providence, RI<br>Census: 2nd<br>Rank: 10th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census",left_lim,4.55
NORFOLK,4,11,1,NA,11,-4.7,-3.3,-10.6,-11.4,norfolk,Norfolk,2nd,11th,VA,First Appearance,,"City: Norfolk, VA<br>Census: 2nd<br>Rank: 11th<br>First Appearance",right_lim,3.45
NORFOLK,4,11,1,NA,11,-4.7,-3.3,-10.6,-11.4,norfolk,Norfolk,2nd,11th,VA,First Appearance,,"City: Norfolk, VA<br>Census: 2nd<br>Rank: 11th<br>First Appearance",left_lim,4.55
NEWPORT,4,12,0,NA,12,-4.7,-3.3,-11.6,-12.4,newport,Newport,2nd,12th,RI,Rank Change from Last Census: -4,<br>First Appearance: 1st Census,"City: Newport, RI<br>Census: 2nd<br>Rank: 12th<br>Rank Change from Last Census: -4<br>First Appearance: 1st Census",right_lim,3.45
NEWPORT,4,12,0,NA,12,-4.7,-3.3,-11.6,-12.4,newport,Newport,2nd,12th,RI,Rank Change from Last Census: -4,<br>First Appearance: 1st Census,"City: Newport, RI<br>Census: 2nd<br>Rank: 12th<br>Rank Change from Last Census: -4<br>First Appearance: 1st Census",left_lim,4.55
NEWBURYPORT,4,13,1,NA,13,-4.7,-3.3,-12.6,-13.4,newburyport,Newburyport,2nd,13th,MA,First Appearance,,"City: Newburyport, MA<br>Census: 2nd<br>Rank: 13th<br>First Appearance",right_lim,3.45
NEWBURYPORT,4,13,1,NA,13,-4.7,-3.3,-12.6,-13.4,newburyport,Newburyport,2nd,13th,MA,First Appearance,,"City: Newburyport, MA<br>Census: 2nd<br>Rank: 13th<br>First Appearance",left_lim,4.55
RICHMOND,4,14,0,right,14,-4.7,-3.3,-13.6,-14.4,richmond,Richmond,2nd,14th,VA,First Appearance,,"City: Richmond, VA<br>Census: 2nd<br>Rank: 14th<br>First Appearance",right_lim,3.45
RICHMOND,4,14,0,right,14,-4.7,-3.3,-13.6,-14.4,richmond,Richmond,2nd,14th,VA,First Appearance,,"City: Richmond, VA<br>Census: 2nd<br>Rank: 14th<br>First Appearance",left_lim,4.55
NANTUCKET,4,15,0,right,15,-4.7,-3.3,-14.6,-15.4,nantucket,Nantucket,2nd,15th,MA,First Appearance,,"City: Nantucket, MA<br>Census: 2nd<br>Rank: 15th<br>First Appearance",right_lim,3.45
NANTUCKET,4,15,0,right,15,-4.7,-3.3,-14.6,-15.4,nantucket,Nantucket,2nd,15th,MA,First Appearance,,"City: Nantucket, MA<br>Census: 2nd<br>Rank: 15th<br>First Appearance",left_lim,4.55
PORTSMOUTH,4,16,0,right,16,-4.7,-3.3,-15.6,-16.4,portsmouth,Portsmouth,2nd,16th,NH,First Appearance,,"City: Portsmouth, NH<br>Census: 2nd<br>Rank: 16th<br>First Appearance",right_lim,3.45
PORTSMOUTH,4,16,0,right,16,-4.7,-3.3,-15.6,-16.4,portsmouth,Portsmouth,2nd,16th,NH,First Appearance,,"City: Portsmouth, NH<br>Census: 2nd<br>Rank: 16th<br>First Appearance",left_lim,4.55
GLOUCESTER,4,17,0,right,17,-4.7,-3.3,-16.6,-17.4,gloucester,Gloucester,2nd,17th,MA,Rank Change from Last Census: -4,<br>First Appearance: 1st Census,"City: Gloucester, MA<br>Census: 2nd<br>Rank: 17th<br>Rank Change from Last Census: -4<br>First Appearance: 1st Census",right_lim,3.45
GLOUCESTER,4,17,0,right,17,-4.7,-3.3,-16.6,-17.4,gloucester,Gloucester,2nd,17th,MA,Rank Change from Last Census: -4,<br>First Appearance: 1st Census,"City: Gloucester, MA<br>Census: 2nd<br>Rank: 17th<br>Rank Change from Last Census: -4<br>First Appearance: 1st Census",left_lim,4.55
ALBANY,4,18,0,right,18,-4.7,-3.3,-17.6,-18.4,albany,Albany,2nd,18th,NY,First Appearance,,"City: Albany, NY<br>Census: 2nd<br>Rank: 18th<br>First Appearance",right_lim,3.45
ALBANY,4,18,0,right,18,-4.7,-3.3,-17.6,-18.4,albany,Albany,2nd,18th,NY,First Appearance,,"City: Albany, NY<br>Census: 2nd<br>Rank: 18th<br>First Appearance",left_lim,4.55
SCHENECTADY,4,19,0,right,19,-4.7,-3.3,-18.6,-19.4,schenectady,Schenectady,2nd,19th,NY,First Appearance,,"City: Schenectady, NY<br>Census: 2nd<br>Rank: 19th<br>First Appearance",right_lim,3.45
SCHENECTADY,4,19,0,right,19,-4.7,-3.3,-18.6,-19.4,schenectady,Schenectady,2nd,19th,NY,First Appearance,,"City: Schenectady, NY<br>Census: 2nd<br>Rank: 19th<br>First Appearance",left_lim,4.55
MARBLEHEAD,4,20,0,right,20,-4.7,-3.3,-19.6,-20.4,marblehead,Marblehead,2nd,20th,MA,Rank Change from Last Census: -9,<br>First Appearance: 1st Census,"City: Marblehead, MA<br>Census: 2nd<br>Rank: 20th<br>Rank Change from Last Census: -9<br>First Appearance: 1st Census",right_lim,3.45
MARBLEHEAD,4,20,0,right,20,-4.7,-3.3,-19.6,-20.4,marblehead,Marblehead,2nd,20th,MA,Rank Change from Last Census: -9,<br>First Appearance: 1st Census,"City: Marblehead, MA<br>Census: 2nd<br>Rank: 20th<br>Rank Change from Last Census: -9<br>First Appearance: 1st Census",left_lim,4.55
BRIDGEWATER,4,21,0,right,21,-4.7,-3.3,-20.6,-21.4,bridgewater,Bridgewater,2nd,21st,MA,First Appearance,,"City: Bridgewater, MA<br>Census: 2nd<br>Rank: 21st<br>First Appearance",right_lim,3.45
BRIDGEWATER,4,21,0,right,21,-4.7,-3.3,-20.6,-21.4,bridgewater,Bridgewater,2nd,21st,MA,First Appearance,,"City: Bridgewater, MA<br>Census: 2nd<br>Rank: 21st<br>First Appearance",left_lim,4.55
SAVANNAH,4,22,0,right,22,-4.7,-3.3,-21.6,-22.4,savannah,Savannah,2nd,22nd,GA,First Appearance,,"City: Savannah, GA<br>Census: 2nd<br>Rank: 22nd<br>First Appearance",right_lim,3.45
SAVANNAH,4,22,0,right,22,-4.7,-3.3,-21.6,-22.4,savannah,Savannah,2nd,22nd,GA,First Appearance,,"City: Savannah, GA<br>Census: 2nd<br>Rank: 22nd<br>First Appearance",left_lim,4.55
NEW YORK,6,1,0,NA,1,-6.7,-5.3,-0.6,-1.4,new_york,New York,3rd,1st,NY,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: New York, NY<br>Census: 3rd<br>Rank: 1st<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",right_lim,5.45
NEW YORK,6,1,0,NA,1,-6.7,-5.3,-0.6,-1.4,new_york,New York,3rd,1st,NY,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: New York, NY<br>Census: 3rd<br>Rank: 1st<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",left_lim,6.55
PHILADELPHIA,6,2,0,NA,2,-6.7,-5.3,-1.6,-2.4,philadelphia,Philadelphia,3rd,2nd,PA,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: Philadelphia, PA<br>Census: 3rd<br>Rank: 2nd<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",right_lim,5.45
PHILADELPHIA,6,2,0,NA,2,-6.7,-5.3,-1.6,-2.4,philadelphia,Philadelphia,3rd,2nd,PA,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: Philadelphia, PA<br>Census: 3rd<br>Rank: 2nd<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",left_lim,6.55
BALTIMORE,6,3,0,NA,3,-6.7,-5.3,-2.6,-3.4,baltimore,Baltimore,3rd,3rd,MD,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: Baltimore, MD<br>Census: 3rd<br>Rank: 3rd<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",right_lim,5.45
BALTIMORE,6,3,0,NA,3,-6.7,-5.3,-2.6,-3.4,baltimore,Baltimore,3rd,3rd,MD,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: Baltimore, MD<br>Census: 3rd<br>Rank: 3rd<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",left_lim,6.55
BOSTON,6,4,0,NA,4,-6.7,-5.3,-3.6,-4.4,boston,Boston,3rd,4th,MA,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: Boston, MA<br>Census: 3rd<br>Rank: 4th<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",right_lim,5.45
BOSTON,6,4,0,NA,4,-6.7,-5.3,-3.6,-4.4,boston,Boston,3rd,4th,MA,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: Boston, MA<br>Census: 3rd<br>Rank: 4th<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",left_lim,6.55
CHARLESTON,6,5,0,NA,5,-6.7,-5.3,-4.6,-5.4,charleston,Charleston,3rd,5th,SC,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: Charleston, SC<br>Census: 3rd<br>Rank: 5th<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",right_lim,5.45
CHARLESTON,6,5,0,NA,5,-6.7,-5.3,-4.6,-5.4,charleston,Charleston,3rd,5th,SC,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: Charleston, SC<br>Census: 3rd<br>Rank: 5th<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",left_lim,6.55
NORTHERN LIBERTIES,6,6,0,NA,6,-6.7,-5.3,-5.6,-6.4,northern_liberties,Northern Liberties,3rd,6th,PA,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: Northern Liberties, PA<br>Census: 3rd<br>Rank: 6th<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",right_lim,5.45
NORTHERN LIBERTIES,6,6,0,NA,6,-6.7,-5.3,-5.6,-6.4,northern_liberties,Northern Liberties,3rd,6th,PA,Rank Change from Last Census: 0,<br>First Appearance: 1st Census,"City: Northern Liberties, PA<br>Census: 3rd<br>Rank: 6th<br>Rank Change from Last Census: 0<br>First Appearance: 1st Census",left_lim,6.55
NEW ORLEANS,6,7,0,NA,7,-6.7,-5.3,-6.6,-7.4,new_orleans,New Orleans,3rd,7th,LA,Rank Change from Last Census: 2,<br>First Appearance: 1st Census,"City: New Orleans, LA<br>Census: 3rd<br>Rank: 7th<br>Rank Change from Last Census: 2<br>First Appearance: 1st Census",right_lim,5.45
NEW ORLEANS,6,7,0,NA,7,-6.7,-5.3,-6.6,-7.4,new_orleans,New Orleans,3rd,7th,LA,Rank Change from Last Census: 2,<br>First Appearance: 1st Census,"City: New Orleans, LA<br>Census: 3rd<br>Rank: 7th<br>Rank Change from Last Census: 2<br>First Appearance: 1st Census",left_lim,6.55
SOUTHWARK,6,8,0,NA,8,-6.7,-5.3,-7.6,-8.4,southwark,Southwark,3rd,8th,PA,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,"City: Southwark, PA<br>Census: 3rd<br>Rank: 8th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census",right_lim,5.45
SOUTHWARK,6,8,0,NA,8,-6.7,-5.3,-7.6,-8.4,southwark,Southwark,3rd,8th,PA,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,"City: Southwark, PA<br>Census: 3rd<br>Rank: 8th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census",left_lim,6.55
SALEM,6,9,0,NA,9,-6.7,-5.3,-8.6,-9.4,salem,Salem,3rd,9th,MA,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,"City: Salem, MA<br>Census: 3rd<br>Rank: 9th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census",right_lim,5.45
SALEM,6,9,0,NA,9,-6.7,-5.3,-8.6,-9.4,salem,Salem,3rd,9th,MA,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,"City: Salem, MA<br>Census: 3rd<br>Rank: 9th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census",left_lim,6.55
ALBANY,6,10,0,NA,10,-6.7,-5.3,-9.6,-10.4,albany,Albany,3rd,10th,NY,Rank Change from Last Census: 8,<br>First Appearance: 2nd Census,"City: Albany, NY<br>Census: 3rd<br>Rank: 10th<br>Rank Change from Last Census: 8<br>First Appearance: 2nd Census",right_lim,5.45
ALBANY,6,10,0,NA,10,-6.7,-5.3,-9.6,-10.4,albany,Albany,3rd,10th,NY,Rank Change from Last Census: 8,<br>First Appearance: 2nd Census,"City: Albany, NY<br>Census: 3rd<br>Rank: 10th<br>Rank Change from Last Census: 8<br>First Appearance: 2nd Census",left_lim,6.55
PROVIDENCE,6,11,0,NA,11,-6.7,-5.3,-10.6,-11.4,providence,Providence,3rd,11th,RI,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,"City: Providence, RI<br>Census: 3rd<br>Rank: 11th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census",right_lim,5.45
PROVIDENCE,6,11,0,NA,11,-6.7,-5.3,-10.6,-11.4,providence,Providence,3rd,11th,RI,Rank Change from Last Census: -1,<br>First Appearance: 1st Census,"City: Providence, RI<br>Census: 3rd<br>Rank: 11th<br>Rank Change from Last Census: -1<br>First Appearance: 1st Census",left_lim,6.55
RICHMOND,6,12,0,NA,12,-6.7,-5.3,-11.6,-12.4,richmond,Richmond,3rd,12th,VA,Rank Change from Last Census: 2,<br>First Appearance: 2nd Census,"City: Richmond, VA<br>Census: 3rd<br>Rank: 12th<br>Rank Change from Last Census: 2<br>First Appearance: 2nd Census",right_lim,5.45
RICHMOND,6,12,0,NA,12,-6.7,-5.3,-11.6,-12.4,richmond,Richmond,3rd,12th,VA,Rank Change from Last Census: 2,<br>First Appearance: 2nd Census,"City: Richmond, VA<br>Census: 3rd<br>Rank: 12th<br>Rank Change from Last Census: 2<br>First Appearance: 2nd Census",left_lim,6.55
NORFOLK,6,13,0,NA,13,-6.7,-5.3,-12.6,-13.4,norfolk,Norfolk,3rd,13th,VA,Rank Change from Last Census: -2,<br>First Appearance: 2nd Census,"City: Norfolk, VA<br>Census: 3rd<br>Rank: 13th<br>Rank Change from Last Census: -2<br>First Appearance: 2nd Census",right_lim,5.45
NORFOLK,6,13,0,NA,13,-6.7,-5.3,-12.6,-13.4,norfolk,Norfolk,3rd,13th,VA,Rank Change from Last Census: -2,<br>First Appearance: 2nd Census,"City: Norfolk, VA<br>Census: 3rd<br>Rank: 13th<br>Rank Change from Last Census: -2<br>First Appearance: 2nd Census",left_lim,6.55
WASHINGTON,6,14,1,NA,14,-6.7,-5.3,-13.6,-14.4,washington,Washington,3rd,14th,DC,First Appearance,,"City: Washington, DC<br>Census: 3rd<br>Rank: 14th<br>First Appearance",right_lim,5.45
WASHINGTON,6,14,1,NA,14,-6.7,-5.3,-13.6,-14.4,washington,Washington,3rd,14th,DC,First Appearance,,"City: Washington, DC<br>Census: 3rd<br>Rank: 14th<br>First Appearance",left_lim,6.55
NEWPORT,6,15,0,NA,15,-6.7,-5.3,-14.6,-15.4,newport,Newport,3rd,15th,RI,Rank Change from Last Census: -3,<br>First Appearance: 1st Census,"City: Newport, RI<br>Census: 3rd<br>Rank: 15th<br>Rank Change from Last Census: -3<br>First Appearance: 1st Census",right_lim,5.45
NEWPORT,6,15,0,NA,15,-6.7,-5.3,-14.6,-15.4,newport,Newport,3rd,15th,RI,Rank Change from Last Census: -3,<br>First Appearance: 1st Census,"City: Newport, RI<br>Census: 3rd<br>Rank: 15th<br>Rank Change from Last Census: -3<br>First Appearance: 1st Census",left_lim,6.55
